country,num_projects,total_amount,y,continent
Angola,5,2084256545,80,Africa
Kenya,9,3243042747,77.77777778,Africa
Sudan,3,700000000,100,Africa
Uganda,11,484927754,100,Africa
Cameroon,5,467208808,80,Africa
Zambia,11,401003835,72.72727273,Africa
Zimbabwe,9,626530000,88.88888889,Africa
Morocco,2,400000000,0,Africa
Cote D'Ivoire,2,301480000,0,Africa
Ethiopia,5,288067824,80,Africa
Tanzania,10,151982400,90,Africa
Mozambique,3,253000000,66.66666667,Africa
Mali,6,81259573,83.33333333,Africa
Namibia,3,78516283,100,Africa
Sierra Leone,14,57918283,100,Africa
Burundi,9,47593877,88.88888889,Africa
"Africa, regional",3,28540000,66.66666667,Africa
Rwanda,6,35289825,100,Africa
Egypt,1,24416311,100,Africa
South Sudan,10,58164683,100,Africa
Mauritania,4,23201006,75,Africa
Malawi,4,36767591,75,Africa
Djibouti,2,16000000,100,Africa
"Congo, Dem. Rep.",4,5000000,100,Africa
Guinea,6,12046037,100,Africa
Liberia,13,8805371,84.61538462,Africa
Nigeria,3,1627754,100,Africa
Togo,2,1669489,100,Africa
Benin,1,840000,100,Africa
Ghana,2,1646877,100,Africa
"Congo, Rep.",2,916130,100,Africa
Senegal,1,30000,100,Africa
Somalia,3,40000,100,Africa
Botswana,6,19496,100,Africa
Lesotho,1,0,100,Africa
Seychelles,1,0,100,Africa
Equatorial Guinea,1,0,100,Africa
Libya,1,0,100,Africa
Madagascar,1,0,100,Africa
Tunisia,2,0,100,Africa
Comoros,1,0,100,Africa
Cape Verde,1,0,100,Africa
Gabon,1,0,100,Africa
"Ghana, Zambia",1,0,100,Africa
"Guinea, Sierra Leone, Sierra Leone",1,0,100,Africa
Pakistan,6,11974926364,16.66666667,Asia
Sri Lanka,4,1278030000,25,Asia
Indonesia,11,1477175178,54.54545455,Asia
Tajikistan,3,425894000,0,Asia
Mongolia,5,459000000,40,Asia
Bangladesh,3,311000000,66.66666667,Asia
Nepal,3,215980000,100,Asia
Cambodia,8,164521374,75,Asia
Uzbekistan,3,189500000,0,Asia
Laos,6,88500000,66.66666667,Asia
Maldives,22,57503251,86.36363636,Asia
Armenia,1,9766525,100,Asia
Myanmar,2,121908,100,Asia
Malaysia,3,25665,66.66666667,Asia
Afghanistan,3,0,100,Asia
Timor-Leste,4,0,100,Asia
Singapore,1,0,0,Asia
India,3,0,33.33333333,Asia
Georgia,1,0,0,Asia
"Korea, Dem. Rep.",1,0,0,Asia
Nicaragua,2,34065684,100,Latin America
Bolivia,31,2352663081,61.29032258,Latin America
Ecuador,22,8800654092,36.36363636,Latin America
Peru,22,242833619,59.09090909,Latin America
"Bolivia, Colombia, Ecuador, Peru, Venezuela",1,0,100,Latin America
Venezuela,26,10333000000,7.692307692,Latin America
Brazil,15,6458394707,6.666666667,Latin America
Colombia,21,79697124,71.42857143,Latin America
Cuba,5,6085600000,80,Latin America
Argentina,6,4359968550,0,Latin America
Suriname,12,292900000,50,Latin America
Guyana,21,293088998,80.95238095,Latin America
Uruguay,13,79891610,61.53846154,Latin America
Chile,6,1253000000,33.33333333,Latin America
Mexico,7,380000000,28.57142857,Latin America
Costa Rica,17,935200000,70.58823529,Latin America
Jamaica,22,1454243203,59.09090909,Latin America
"Costa Rica, Cuba, Jamaica, Trinidad & Tobago",1,0,100,Latin America
Antigua & Barbuda,5,106892948,100,Latin America
Bahamas,9,2585710000,0,Latin America
Grenada,6,68685185,100,Latin America
Trinidad & Tobago,15,177761401,6.666666667,Latin America
Barbados,4,2672555,50,Latin America
Dominica,18,184989403,83.33333333,Latin America
"Antigua & Barbuda, Bahamas, Barbados, Caribbean, regional, Dominica, Jamaica, Trinidad & Tobago",1,0,100,Latin America
St. Lucia,3,20370370,100,Latin America
Haiti,9,8931139,100,Latin America
