project_id,year,recipient_condensed,flow_class,usd_defl_2014,usd_current,recipient_iso3,recipient_region
1,2010,Mauritania,ODA-like,,,MRT,Africa
3,2008,Mauritania,ODA-like,"396,886,331","287,825,486",MRT,Africa
4,2001,Angola,ODA-like,"13,640,943","6,000,000",AGO,Africa
5,2001,Angola,ODA-like,"18,187,924","8,000,000",AGO,Africa
6,2001,Angola,ODA-like,"1,364,094","600,000",AGO,Africa
9,2001,Angola,Vague (Official Finance),"113,674,528","50,000,000",AGO,Africa
10,2000,Angola,ODA-like,,,AGO,Africa
12,2001,Angola,ODA-like,"54,934,681","24,163,145",AGO,Africa
13,2001,Angola,ODA-like,,,AGO,Africa
14,2003,Algeria,ODA-like,"1,330,968","604,081",DZA,Africa
18,2000,Benin,ODA-like,"21,443,105","9,240,800",BEN,Africa
20,2003,Algeria,OOF-like,,,DZA,Africa
21,2004,Botswana,ODA-like,"51,378,371","24,931,346",BWA,Africa
22,2004,Botswana,ODA-like,"878,263","426,177",BWA,Africa
23,2004,Botswana,Vague (Official Finance),"19,577,544","9,500,000",BWA,Africa
24,2006,Benin,ODA-like,,,BEN,Africa
26,2007,Benin,ODA-like,"6,418,107","3,943,460",BEN,Africa
28,2006,Benin,ODA-like,,,BEN,Africa
29,2005,Botswana,ODA-like,,,BWA,Africa
30,2005,Botswana,ODA-like,"7,190,815","3,661,074",BWA,Africa
31,2006,Botswana,ODA-like,"17,333,397","9,423,341",BWA,Africa
32,2005,Benin,ODA-like,,,BEN,Africa
33,2006,Botswana,ODA-like,"220,729","120,000",BWA,Africa
36,2009,Botswana,ODA-like,"1,986,556","1,463,825",BWA,Africa
37,2009,Botswana,ODA-like,"3,973,111","2,927,651",BWA,Africa
38,2007,Botswana,ODA-like,"2,139,369","1,314,487",BWA,Africa
39,2009,Botswana,ODA-like,,,BWA,Africa
40,2009,Botswana,OOF-like,"1,119,606,500","825,000,000",BWA,Africa
41,2009,Botswana,ODA-like,,,BWA,Africa
42,2009,Botswana,ODA-like,"3,793","2,795",BWA,Africa
43,2008,Benin,ODA-like,"7,937,727","5,756,510",BEN,Africa
46,2007,Botswana,OOF-like,,,BWA,Africa
47,2002,Angola,ODA-like,"2,034,159","900,000",AGO,Africa
48,2002,Angola,ODA-like,"1,365,342","604,087",AGO,Africa
49,2002,Angola,ODA-like,"678,053","300,000",AGO,Africa
51,2002,Angola,ODA-like,,,AGO,Africa
52,2003,Angola,ODA-like,"660,988","300,000",AGO,Africa
53,2008,Sierra Leone,ODA-like,"22,889,957","16,600,000",SLE,Africa
57,2004,Angola,ODA-like,,,AGO,Africa
58,2005,Angola,ODA-like,"11,984,692","6,101,790",AGO,Africa
59,2005,Angola,ODA-like,"1,964,716","1,000,300",AGO,Africa
60,2005,Angola,ODA-like,"239,694","122,036",AGO,Africa
63,2005,Angola,Vague (Official Finance),"135,524,775","69,000,000",AGO,Africa
64,2008,Angola,Vague (Official Finance),"68,945,655","50,000,000",AGO,Africa
65,2008,Angola,ODA-like,"39,709,939","28,798,000",AGO,Africa
66,2008,Angola,OOF-like,"77,683,137","56,336,500",AGO,Africa
67,2009,Angola,OOF-like,"1,628,518,545","1,200,000,000",AGO,Africa
68,2010,Angola,Vague (Official Finance),"628,849,044","500,000,000",AGO,Africa
70,2010,Angola,ODA-like,"11,146,069","8,862,277",AGO,Africa
75,2004,Guinea,ODA-like,"4,121,588","2,000,000",GIN,Africa
76,2005,"Congo, Dem. Rep.",ODA-like,"3,240,810","1,650,000",COD,Africa
80,2003,Ethiopia,ODA-like,"6,477,684","2,940,000",ETH,Africa
83,2002,Niger,ODA-like,"9,040,705","4,000,000",NER,Africa
84,2005,"Congo, Rep.",ODA-like,"11,372,296","5,790,000",COG,Africa
85,2008,Gabon,ODA-like,"114,587,678","83,100,000",GAB,Africa
87,2003,Equatorial Guinea,Vague (Official Finance),"13,043,499","5,920,000",GNQ,Africa
90,2011,Cote D'Ivoire,ODA-like,"63,513,054","57,219,621",CIV,Africa
91,2004,Burundi,ODA-like,"16,300,881","7,910,000",BDI,Africa
99,2001,Equatorial Guinea,Vague (Official Finance),"25,872,323","11,380,000",GNQ,Africa
100,2006,Ethiopia,Vague (Official Finance),"23,378,914","12,710,000",ETH,Africa
101,2005,Ethiopia,ODA-like,"29,461,908","15,000,000",ETH,Africa
103,2002,Angola,ODA-like,"33,902,643","15,000,000",AGO,Africa
105,2004,Botswana,ODA-like,"32,173,844","15,612,352",BWA,Africa
108,2001,Kenya,ODA-like,"43,407,550","19,092,910",KEN,Africa
115,2000,Tanzania,ODA-like,"30,150,863","12,993,365",TZA,Africa
117,2008,Benin,ODA-like,"31,750,906","23,026,039",BEN,Africa
