project_id,year,recipient_condensed,flow_class,usd_current,recipient_iso3,recipient_region
1,2010,Mauritania,ODA-like, ,MRT,Africa
3,2008,Mauritania,ODA-like,287825486,MRT,Africa
6,2001,Angola,ODA-like,600000,AGO,Africa
10,2000,Angola,ODA-like, ,AGO,Africa
13,2001,Angola,ODA-like, ,AGO,Africa
18,2000,Benin,ODA-like,9240800,BEN,Africa
20,2003,Algeria,OOF-like, ,DZA,Africa
21,2004,Botswana,ODA-like,24931346,BWA,Africa
23,2004,Botswana,Vague (Official Finance),9500000,BWA,Africa
24,2006,Benin,ODA-like, ,BEN,Africa
26,2007,Benin,ODA-like,3943460,BEN,Africa
29,2005,Botswana,ODA-like, ,BWA,Africa
31,2006,Botswana,ODA-like,9423341,BWA,Africa
32,2005,Benin,ODA-like, ,BEN,Africa
33,2006,Botswana,ODA-like,120000,BWA,Africa
36,2009,Botswana,ODA-like,1463825,BWA,Africa
37,2009,Botswana,ODA-like,2927651,BWA,Africa
38,2007,Botswana,ODA-like,1314487,BWA,Africa
39,2009,Botswana,ODA-like, ,BWA,Africa
40,2009,Botswana,OOF-like,825000000,BWA,Africa
41,2009,Botswana,ODA-like, ,BWA,Africa
42,2009,Botswana,ODA-like,2795,BWA,Africa
43,2008,Benin,ODA-like,5756510,BEN,Africa
46,2007,Botswana,OOF-like, ,BWA,Africa
47,2002,Angola,ODA-like,900000,AGO,Africa
48,2002,Angola,ODA-like,604087,AGO,Africa
49,2002,Angola,ODA-like,300000,AGO,Africa
51,2002,Angola,ODA-like, ,AGO,Africa
53,2008,Sierra Leone,ODA-like,16600000,SLE,Africa
57,2004,Angola,ODA-like, ,AGO,Africa
58,2005,Angola,ODA-like,6101790,AGO,Africa
59,2005,Angola,ODA-like,1000300,AGO,Africa
63,2005,Angola,Vague (Official Finance),69000000,AGO,Africa
65,2008,Angola,ODA-like,28798000,AGO,Africa
66,2008,Angola,OOF-like,56336500,AGO,Africa
68,2010,Angola,Vague (Official Finance),500000000,AGO,Africa
75,2004,Guinea,ODA-like,2000000,GIN,Africa
76,2005,"Congo, Dem. Rep.",ODA-like,1650000,COD,Africa
80,2003,Ethiopia,ODA-like,2940000,ETH,Africa
83,2002,Niger,ODA-like,4000000,NER,Africa
84,2005,"Congo, Rep.",ODA-like,5790000,COG,Africa
85,2008,Gabon,ODA-like,83100000,GAB,Africa
87,2003,Equatorial Guinea,Vague (Official Finance),5920000,GNQ,Africa
90,2011,Cote D'Ivoire,ODA-like,57219621,CIV,Africa
91,2004,Burundi,ODA-like,7910000,BDI,Africa
99,2001,Equatorial Guinea,Vague (Official Finance),11380000,GNQ,Africa
100,2006,Ethiopia,Vague (Official Finance),12710000,ETH,Africa
101,2005,Ethiopia,ODA-like,15000000,ETH,Africa
103,2002,Angola,ODA-like,15000000,AGO,Africa
105,2004,Botswana,ODA-like,15612352,BWA,Africa
108,2001,Kenya,ODA-like,19092910,KEN,Africa
115,2000,Tanzania,ODA-like,12993365,TZA,Africa
117,2008,Benin,ODA-like,23026039,BEN,Africa
119,2003,Botswana,ODA-like,24163237,BWA,Africa
120,2003,Ghana,ODA-like,28000000,GHA,Africa
130,2006,Ghana,ODA-like,30000000,GHA,Africa
131,2005,Namibia,ODA-like,30508950,NAM,Africa
134,2008,"Congo, Dem. Rep.",Vague (Official Finance),35258622,COD,Africa
135,2006,Niger,OOF-like,40000000,NER,Africa
138,2007,Senegal,ODA-like,48636006,SEN,Africa
140,2005,Senegal,OOF-like,100000000,SEN,Africa
141,2007,"Congo, Rep.",Vague (Official Finance),56000000,COG,Africa
145,2007,Mauritius,ODA-like,63095360,MUS,Africa
147,2005,Central African Rep.,OOF-like,67480003,CAF,Africa
148,2011,Cote D'Ivoire,ODA-like, ,CIV,Africa
150,2006,Sudan,Vague (Official Finance),81000000,SDN,Africa
151,2006,Ghana,OOF-like,162000000,GHA,Africa
152,2002,Angola,ODA-like,90000000,AGO,Africa
161,2007,"Congo, Rep.",ODA-like,180000000,COG,Africa
163,2002,Nigeria,ODA-like,200000000,NGA,Africa
165,2005,Sudan,OOF-like,200000000,SDN,Africa
168,2005,Mauritania,ODA-like,136000000,MRT,Africa
173,2005,Nigeria,OOF-like,297750000,NGA,Africa
178,2003,Sudan,OOF-like,519000000,SDN,Africa
179,2008,Nigeria,OOF-like,500000000,NGA,Africa
183,2007,Ghana,OOF-like,292000000,GHA,Africa
195,2006,Nigeria,ODA-like,500000000,NGA,Africa
200,2005,Eritrea,ODA-like,21450000,ERI,Africa
201,2009,Cameroon,OOF-like,52000000,CMR,Africa
202,2000,Kenya,ODA-like,108000000,KEN,Africa
205,2009,Equatorial Guinea,OOF-like, ,GNQ,Africa
206,2002,Angola,Vague (Official Finance), ,AGO,Africa
208,2006,Sudan,OOF-like,29000000,SDN,Africa
229,2008,Nigeria,OOF-like,5000000,NGA,Africa
230,2007,Tanzania,ODA-like,4497864,TZA,Africa
231,2007,Gabon,ODA-like, ,GAB,Africa
233,2007,Togo,ODA-like, ,TGO,Africa
234,2007,Mali,ODA-like,51500000,MLI,Africa
237,2006,Cape Verde,ODA-like,4400000,CPV,Africa
239,2006,Rwanda,ODA-like, ,RWA,Africa
248,2005,Sudan,Vague (Official Finance),32500000,SDN,Africa
276,2002,Cameroon,ODA-like,103302,CMR,Africa
277,2001,Burundi,ODA-like,45722577,BDI,Africa
278,2002,Cameroon,ODA-like,5738978,CMR,Africa
281,2003,Cameroon,ODA-like,344115,CMR,Africa
284,2003,Cameroon,ODA-like, ,CMR,Africa
285,2007,Gabon,ODA-like, ,GAB,Africa
287,2003,Cameroon,ODA-like,156573,CMR,Africa
288,2002,Burundi,ODA-like, ,BDI,Africa
289,2011,Cameroon,OOF-like,541600000,CMR,Africa
290,2003,Burundi,ODA-like,3624486,BDI,Africa
295,2005,Cameroon,ODA-like, ,CMR,Africa
296,2006,Cameroon,ODA-like, ,CMR,Africa
301,2010,Botswana,ODA-like, ,BWA,Africa
311,2007,Cameroon,ODA-like, ,CMR,Africa
314,2007,Cameroon,OOF-like,26289733,CMR,Africa
315,2007,Cameroon,ODA-like,27100000,CMR,Africa
316,2007,Burundi,ODA-like,27998566,BDI,Africa
317,2007,Cameroon,ODA-like, ,CMR,Africa
319,2007,Burundi,ODA-like,1081128,BDI,Africa
332,2002,Algeria,ODA-like,3000000,DZA,Africa
334,2001,"Congo, Rep.",ODA-like,75000000,COG,Africa
337,2000,Botswana,ODA-like, ,BWA,Africa
338,2010,Cameroon,ODA-like, ,CMR,Africa
339,2010,Cameroon,ODA-like,14632505,CMR,Africa
344,2009,Cameroon,ODA-like,775117802,CMR,Africa
345,2008,Burundi,ODA-like,2000000,BDI,Africa
347,2010,Cameroon,ODA-like,42401,CMR,Africa
349,2011,Cameroon,ODA-like,75000000,CMR,Africa
350,2011,Cameroon,ODA-like,423000000,CMR,Africa
352,2003,Central African Rep.,ODA-like,20646926,CAF,Africa
353,2003,Central African Rep.,ODA-like, ,CAF,Africa
354,2007,Zambia,OOF-like,325000000,ZMB,Africa
355,2008,Burundi,OOF-like,575651,BDI,Africa
356,2011,Cameroon,ODA-like,1547638,CMR,Africa
359,2006,Cape Verde,ODA-like,2508967,CPV,Africa
360,2008,Djibouti,ODA-like,2475791,DJI,Africa
367,2006,Cape Verde,ODA-like, ,CPV,Africa
369,2006,"Congo, Rep.",Vague (Official Finance), ,COG,Africa
370,2007,Cape Verde,ODA-like, ,CPV,Africa
371,2007,Cape Verde,ODA-like, ,CPV,Africa
375,2003,Central African Rep.,ODA-like,1900000,CAF,Africa
376,2003,Central African Rep.,ODA-like, ,CAF,Africa
377,2003,Central African Rep.,ODA-like,111838,CAF,Africa
378,2003,Central African Rep.,ODA-like,2500000,CAF,Africa
379,2004,Central African Rep.,ODA-like,4000000,CAF,Africa
381,2007,Central African Rep.,ODA-like,11475863,CAF,Africa
383,2007,Central African Rep.,ODA-like,3800000,CAF,Africa
384,2006,Central African Rep.,Vague (Official Finance),5700000,CAF,Africa
386,2007,Central African Rep.,ODA-like,418301,CAF,Africa
390,2001,Comoros,ODA-like,2416314,COM,Africa
391,2002,Comoros,OOF-like,40173,COM,Africa
392,2009,Togo,Vague (Official Finance),177895889,TGO,Africa
394,2003,Comoros,ODA-like, ,COM,Africa
395,2005,Comoros,ODA-like, ,COM,Africa
397,2007,Chad,OOF-like,92000000,TCD,Africa
398,2007,Chad,Vague (Official Finance),24000000,TCD,Africa
400,2007,Chad,Vague (Official Finance),30000000,TCD,Africa
401,2007,Chad,Vague (Official Finance),1100000,TCD,Africa
403,2006,Comoros,ODA-like,30000000,COM,Africa
407,2006,"Congo, Dem. Rep.",ODA-like,4500000,COD,Africa
408,2007,Comoros,ODA-like,3286217,COM,Africa
409,2007,Comoros,ODA-like,320000,COM,Africa
411,2004,Comoros,ODA-like,7600000,COM,Africa
412,2010,Comoros,ODA-like,4431139,COM,Africa
415,2000,"Congo, Rep.",Vague (Official Finance),21068118,COG,Africa
417,2000,"Congo, Dem. Rep.",ODA-like, ,COD,Africa
420,2011,Central African Rep.,ODA-like,29669433,CAF,Africa
421,2001,Djibouti,OOF-like,12048000,DJI,Africa
426,2001,Djibouti,ODA-like,2410000,DJI,Africa
427,2006,Equatorial Guinea,ODA-like,2500000,GNQ,Africa
430,2003,"Congo, Rep.",ODA-like,2580866,COG,Africa
431,2004,Djibouti,ODA-like, ,DJI,Africa
433,2005,Djibouti,ODA-like,1220358,DJI,Africa
434,2004,"Congo, Rep.",OOF-like,238000000,COG,Africa
435,2004,Djibouti,ODA-like,910000,DJI,Africa
