project_id,year,recipient_condensed,flow_class,usd_defl_2014,usd_current,recipient_iso3,recipient_region,special
1,2010,Mauritania,ODA-like,,,MRT,Africa,
3,2008,Mauritania,ODA-like,"396,886,331","287,825,486",MRT,Africa,
6,2001,Angola,ODA-like,"1,364,094","600,000",AGO,Africa,
10,2000,Angola,ODA-like,,,AGO,Africa,
13,2001,Angola,ODA-like,,,AGO,Africa,
18,2000,Benin,ODA-like,21443104.73,9240799.843,BEN,Africa,
20,2003,Algeria,OOF-like,,,DZA,Africa,
21,2004,Botswana,ODA-like,51378371.41,24931346.16,BWA,Africa,
23,2004,Botswana,Vague (Official Finance),"19,577,544","9,500,000",BWA,Africa,
24,2006,Benin,ODA-like,,,BEN,Africa,
26,2007,Benin,ODA-like,6418106.892,3943459.985,BEN,Africa,
29,2005,Botswana,ODA-like,,,BWA,Africa,
31,2006,Botswana,ODA-like,"17,333,397","9,423,341",BWA,Africa,
32,2005,Benin,ODA-like,,,BEN,Africa,
33,2006,Botswana,ODA-like,220729.3192,120000,BWA,Africa,
36,2009,Botswana,ODA-like,"1,986,556","1,463,825",BWA,Africa,
37,2009,Botswana,ODA-like,3973111.218,2927650.702,BWA,Africa,
38,2007,Botswana,ODA-like,2139368.964,1314486.662,BWA,Africa,
39,2009,Botswana,ODA-like,,,BWA,Africa,
40,2009,Botswana,OOF-like,"1,119,606,500","825,000,000",BWA,Africa,
41,2009,Botswana,ODA-like,,,BWA,Africa,
42,2009,Botswana,ODA-like,"3,793","2,795",BWA,Africa,
43,2008,Benin,ODA-like,"7,937,727","5,756,510",BEN,Africa,
46,2007,Botswana,OOF-like,,,BWA,Africa,
47,2002,Angola,ODA-like,"2,034,159","900,000",AGO,Africa,
48,2002,Angola,ODA-like,1365342.412,604086.707,AGO,Africa,
49,2002,Angola,ODA-like,"678,053","300,000",AGO,Africa,
51,2002,Angola,ODA-like,,,AGO,Africa,
53,2008,Sierra Leone,ODA-like,"22,889,957","16,600,000",SLE,Africa,
57,2004,Angola,ODA-like,,,AGO,Africa,
58,2005,Angola,ODA-like,11984691.71,6101790.062,AGO,Africa,
59,2005,Angola,ODA-like,"1,964,716","1,000,300",AGO,Africa,
63,2005,Angola,Vague (Official Finance),"135,524,775","69,000,000",AGO,Africa,
65,2008,Angola,ODA-like,"39,709,939","28,798,000",AGO,Africa,
66,2008,Angola,OOF-like,77683137.49,56336500,AGO,Africa,
68,2010,Angola,Vague (Official Finance),"628,849,044","500,000,000",AGO,Africa,
75,2004,Guinea,ODA-like,"4,121,588","2,000,000",GIN,Africa,
76,2005,"Congo, Dem. Rep.",ODA-like,3240809.847,1650000,COD,Africa,
80,2003,Ethiopia,ODA-like,"6,477,684","2,940,000",ETH,Africa,
83,2002,Niger,ODA-like,"9,040,705","4,000,000",NER,Africa,
84,2005,"Congo, Rep.",ODA-like,"11,372,296","5,790,000",COG,Africa,
85,2008,Gabon,ODA-like,"114,587,678","83,100,000",GAB,Africa,
87,2003,Equatorial Guinea,Vague (Official Finance),"13,043,499","5,920,000",GNQ,Africa,
90,2011,Cote D'Ivoire,ODA-like,"63,513,054","57,219,621",CIV,Africa,
91,2004,Burundi,ODA-like,"16,300,881","7,910,000",BDI,Africa,
99,2001,Equatorial Guinea,Vague (Official Finance),"25,872,323","11,380,000",GNQ,Africa,
100,2006,Ethiopia,Vague (Official Finance),"23,378,914","12,710,000",ETH,Africa,
101,2005,Ethiopia,ODA-like,"29,461,908","15,000,000",ETH,Africa,
103,2002,Angola,ODA-like,"33,902,643","15,000,000",AGO,Africa,
105,2004,Botswana,ODA-like,"32,173,844","15,612,352",BWA,Africa,
108,2001,Kenya,ODA-like,"43,407,550","19,092,910",KEN,Africa,
115,2000,Tanzania,ODA-like,"30,150,863","12,993,365",TZA,Africa,
117,2008,Benin,ODA-like,"31,750,906","23,026,039",BEN,Africa,
119,2003,Botswana,ODA-like,"53,238,709","24,163,237",BWA,Africa,
120,2003,Ghana,ODA-like,"61,692,225","28,000,000",GHA,Africa,
130,2006,Ghana,ODA-like,"55,182,330","30,000,000",GHA,Africa,
131,2005,Namibia,ODA-like,"59,923,459","30,508,950",NAM,Africa,
134,2008,"Congo, Dem. Rep.",Vague (Official Finance),"48,618,576","35,258,622",COD,Africa,
135,2006,Niger,OOF-like,"73,576,440","40,000,000",NER,Africa,
138,2007,Senegal,ODA-like,"79,156,652","48,636,006",SEN,Africa,
140,2005,Senegal,OOF-like,"196,412,718","100,000,000",SEN,Africa,
141,2007,"Congo, Rep.",Vague (Official Finance),"91,141,786","56,000,000",COG,Africa,
145,2007,Mauritius,ODA-like,"102,689,710","63,095,360",MUS,Africa,
