Country,Year,Urban Population (As a %),Life Expectancy,World Bank Classification,Continental Classification,Mobile Phone Subscriptions per 100 people,Infant Mortality per 1000 births,Internet Access (Users per 100 people),Trade as a % of GDP,Percentage of Women formally employed,Unmployment %,Fertility Rate (child/woman),"GNI per Capita, PPP(ci$)",Gross Capital Formation (%GDP),Gross Domestic Savings(%GDP),Net ODA received(%GNI),HIV/AIDS newly infected,Tuberculosis Incidence (per100k),World Bank Corruption Index,Transparency International CPI,Political Stability/Absence of Violence Index,Women in National Parliaments,Value Added By Manufacturing(%ofGDP),Value Added By Services(%ofGDP),Government Effectivness Index,Perceived Rule Of Law,Regulatory Quality,Voice And Accountability,Tax Revenue as a % of GDP,Freedom House Ranking,Tertiary Enrollment Rate,Electricity Consumption (kWh/capita),Improved Sanitation Access,ATMs per 100k people,Business Startup Cost (%ofGNIpercap),Market Capitalization of Domestic Companies (%GDP),Bank Branches (per 100k),Primary Education Enrollment,Intentional Homicides (per100k),Poverty Rate (%ofPopUnder$1.90aDay)
Albania,1995,38.9,72.24,6,1,0,29.1,0.01,47,53.2,16.9,2.59,2830,21,-1.04,7.32,12,,,,,,,21.69,,,,,13.42,,10.22,645.28,79.4,,,,,,6.69,0.89
Bangladesh,1995,21.7,61.89,3,2,0,81,,28.2,58.3,2.9,3.71,1080,19.12,12.64,3.28,100,,,,,,15.33,49.06,,,,,,,,76.08,40,,,5.08,,,,35.08
Bolivia,1995,59.4,57.86,3,3,0.09,72.2,0.07,49.7,55.1,5,4.5,2900,15.24,10.61,10.96,1600,,,,,,19.01,50,,,,,9.72,,,354.18,33.2,,,1.44,,,,18.69
Brazil,1995,77.6,67.6,6,7,0.79,39.7,0.11,16.6,54.2,6,2.5,7740,19.18,17.29,0.04,33000,,,27,,,18.62,66.7,,,,,,,,1627.02,70.8,,,,,,,12.99
Burundi,1995,7.2,48.8,1,4,0.01,103.2,0,40.2,88,7.3,7.32,600,6.36,-7.99,29.04,17000,,,,,,9.46,32.61,,,,,16.68,,,,43,,,,,,,82.62
Central African Republic,1995,37.2,46.85,1,4,0,115.4,,50.5,70.3,6.9,5.6,620,14.12,8.09,15.33,23000,,,,,,10.4,32.26,,,,,,,,,15.6,,,,,,,77.81
China,1995,31,69.93,6,7,0.29,37.7,0,34.8,72.2,4.5,1.68,1840,39.68,41.8,0.48,,,,21.6,,,33.35,33.65,,,,,,,4.46,770.28,53.2,,,,,92.3,,47.03
Colombia,1995,70.5,69.43,6,3,0.75,25,0.19,35.5,36,12.4,2.66,6050,25.8,19.37,0.19,5600,,,34.4,,,15.92,53.02,,,,,,,16.15,895.39,72,,,,,81.04,69.67,13.75
Congo,1995,32.8,49.07,1,4,0.02,114.9,,52.2,69.8,8.2,7.12,450,9.37,14.13,3.99,54000,,,,,,,26,,,,,4.93,,2.52,107.32,20.3,,,,,66.03,,
Ecuador,1995,57.8,71.23,6,3,0.48,35.2,0.04,45.9,44.6,4.7,3.36,5420,19.82,16.49,0.95,2800,,,,,,20.32,51.92,,,,,,,18.18,552.86,63.5,,,10.50,,92.65,,13.81
Georgia,1995,53.8,70.23,6,1,0,38.1,0.01,67.8,58.9,14.4,1.88,1600,4.03,-12.79,8.12,200,,,,,,,32.07,,,,,,,44.04,1468.31,97.8,,,,,83.78,7.71,
Ghana,1995,40.1,57.5,3,4,0.04,72,0,57.4,71.1,3.2,5.06,1480,20.02,11.59,10.24,38000,,,,,,10.27,30.55,,,,,,,,354.81,8.6,,,25.80,,,,39.64
Haiti,1995,32.6,56.28,1,5,0,87.8,,37.8,57.2,10.3,4.89,,26.09,6.51,,32000,,,,,,,,,,,,,,,29.92,19.2,,,,,,,
Honduras,1995,42.9,68.86,3,5,0,36.9,0.04,91.8,35,3.2,4.65,2280,31.56,27.18,11.03,3800,,,,,,17.83,47.77,,,,,,,10.14,361.29,55.9,,,,,,,27.68
India,1995,26.6,60.44,3,7,0.01,77.5,0.03,22.5,35.4,4,3.65,1480,26.05,24.89,0.48,250000,,,27.8,,,17.3,46.34,,,,,9.07,,5.55,359.9,20.8,,,,,,4.37,44.51
Indonesia,1995,36.1,65,3,2,0.11,50.8,0.03,54,50.9,3.9,2.69,4260,31.93,30.59,0.66,1800,,,19.4,,,24.13,41.06,,,,,14.96,,11.33,263.59,41,,,32.94,,93.66,,49.61
Jordan,1995,78.4,70.93,6,2,0.27,26.2,0.02,124.6,11.9,14.6,4.68,5100,32.96,11.82,8.36,,,,,,,15.1,66.75,,,,,20.71,,18.71,1177.73,97.5,,,,,,,
Kazakhstan,1995,55.9,64.92,6,2,0.03,44.8,0.01,82.5,62.7,11,2.26,6000,19.89,15.31,0.32,500,,,,,,15.27,55.74,,,,,,,35.26,4041.13,96.5,,,,,,15.36,6.4
Kenya,1995,18.3,54.46,3,4,0.01,71.9,0,71.7,66.6,9.9,5.25,1550,21.82,15.26,8.39,230000,,,,,,9.88,52.85,,,,,20.49,,,127.5,25.7,,,22.30,,,,19.73
