Country,Year,Life Expectancy,GNI per capita,World Bank Classification,Gross Domestic Product (PPP),Region,Sub-region,ISO
Afghanistan,1990,49.86105,,1,,Asia,Southern Asia,AFG
Albania,1990,71.95732,680,2,8940000000,Europe,Southern Europe,ALB
Algeria,1990,66.69459,2360,2,171000000000,Africa,Northern Africa,DZA
American Samoa,1990,,,3,,Oceania,Polynesia,ASM
Andorra,1990,,16880,,,Europe,Southern Europe,AND
Angola,1990,41.13834,550,2,34600000000,Africa,Middle Africa,AGO
Antigua and Barbuda,1990,71.16295,5740,3,686000000,Americas,Caribbean,ATG
Argentina,1990,71.54366,3170,2,229000000000,Americas,South America,ARG
Armenia,1990,67.7478,,,8560000000,Asia,Western Asia,ARM
Aruba,1990,73.38998,,4,,Americas,Caribbean,ABW
Australia,1990,76.99463,17220,5,296000000000,Oceania,Australia and New Zealand,AUS
Austria,1990,75.56829,20560,5,149000000000,Europe,Western Europe,AUT
Azerbaijan,1990,64.74637,,,39400000000,Asia,Western Asia,AZE
"Bahamas, The",1990,70.63066,11900,4,4020000000,Americas,Caribbean,BHS
Bahrain,1990,72.50724,7220,3,11300000000,Asia,Western Asia,BHR
Bangladesh,1990,58.41756,310,1,88395044692,Asia,Southern Asia,BGD
Barbados,1990,71.17195,7520,3,2240000000,Americas,Caribbean,BRB
Belarus,1990,70.83659,,,53200000000,Europe,Eastern Europe,BLR
Belgium,1990,76.05195,19400,5,187000000000,Europe,Western Europe,BEL
Belize,1990,71.28373,2230,2,627000000,Americas,Central America,BLZ
Benin,1990,53.42,360,1,4710000000,Africa,Western Africa,BEN
Bermuda,1990,,27100,4,1550000000,Americas,Northern America,BMU
Bhutan,1990,52.46232,580,1,807000000,Asia,Southern Asia,BTN
Bolivia,1990,55.10729,720,2,16400000000,Americas,South America,BOL
Bosnia and Herzegovina,1990,70.78322,,,,Europe,Southern Europe,BIH
Botswana,1990,62.55659,2540,2,7220000000,Africa,Southern Africa,BWA
Brazil,1990,65.34032,2710,3,996000000000,Americas,South America,BRA
British Virgin Islands,1990,,,,,Americas,Caribbean,VGB
Brunei Darussalam,1990,73.0512,12600,4,14200000000,Asia,South-eastern Asia,BRN
Bulgaria,1990,71.64146,2250,2,45200000000,Europe,Eastern Europe,BGR
Burkina Faso,1990,49.36561,330,1,4810000000,Africa,Western Africa,BFA
Burundi,1990,48.00012,210,1,3806386336,Africa,Eastern Africa,BDI
Cabo Verde,1990,65.57051,890,2,366000000,Africa,Western Africa,CPV
Cambodia,1990,53.51007,,1,,Asia,South-eastern Asia,KHM
Cameroon,1990,53.59127,920,2,21600000000,Africa,Middle Africa,CMR
Canada,1990,77.37707,20400,5,559000000000,Americas,Northern America,CAN
Cayman Islands,1990,,,,,Americas,Caribbean,CYM
Central African Republic,1990,49.01756,460,1,1770000000,Africa,Middle Africa,CAF
Chad,1990,46.92437,270,1,4280000000,Africa,Middle Africa,TCD
Channel Islands,1990,75.41824,,4,,Europe,Western Europe,CHI
Chile,1990,72.67878,2260,2,57900000000,Americas,South America,CHL
China,1990,69.03051,330,6,1120000000000,Asia,Eastern Asia,CHN
Colombia,1990,68.2972,1220,2,167000000000,Americas,South America,COL
Comoros,1990,56.65361,560,1,425629994,Africa,Eastern Africa,COM
"Congo, Dem. Rep.",1990,48.99298,,1,28600000000,Africa,Middle Africa,COD
"Congo, Rep.",1990,55.02898,920,2,8110000000,Africa,Middle Africa,COG
Costa Rica,1990,75.65868,2320,2,15600000000,Americas,Central America,CRI
Cote d'Ivoire,1990,52.60693,760,2,25323486247,Africa,Western Africa,CIV
Croatia,1990,72.17049,,,,Europe,Southern Europe,HRV
Cuba,1990,74.6438,2660,2,93700000000,Americas,Caribbean,CUB
Curacao,1990,,,,,Americas,Caribbean,CUW
Cyprus,1990,76.51395,9510,4,7640000000,Asia,Western Asia,CYP
Czech Republic,1990,71.3839,,,130000000000,Europe,Eastern Europe,CZE
Denmark,1990,74.80537,24500,5,93500000000,Europe,Northern Europe,DNK
Djibouti,1990,56.66317,,2,1180000000,Africa,Eastern Africa,DJI
Dominica,1990,,2300,2,308000000,Americas,Caribbean,DMA
Dominican Republic,1990,67.95041,870,2,24500000000,Americas,Caribbean,DOM
Ecuador,1990,68.99537,1370,2,49300000000,Americas,South America,ECU
"Egypt, Arab Rep.",1990,64.54907,750,1,219000000000,Africa,Northern Africa,EGY
El Salvador,1990,63.988,900,2,15400000000,Americas,Central America,SLV
Equatorial Guinea,1990,48.18954,290,1,275747982,Africa,Middle Africa,GNQ
Eritrea,1990,48.23595,,,,Africa,Eastern Africa,ERI
Estonia,1990,69.47561,,,,Europe,Northern Europe,EST
Ethiopia,1990,47.09956,260,1,20300000000,Africa,Eastern Africa,ETH
Faroe Islands,1990,76.11463,,4,,Europe,Northern Europe,FRO
Fiji,1990,65.57085,1790,2,2770000000,Oceania,Melanesia,FJI
Finland,1990,74.81317,26000,5,90500000000,Europe,Northern Europe,FIN
France,1990,76.6,20700,5,1030000000000,Europe,Western Europe,FRA
French Polynesia,1990,68.82861,15400,4,,Oceania,Polynesia,PYF
Gabon,1990,61.24015,4810,3,12000000000,Africa,Middle Africa,GAB
"Gambia, The",1990,52.214,320,1,899000000,Africa,Western Africa,GMB
