Country,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Albania,3180,2900,3300,3770,4140,4600,4870,5250,5660,6060,6830,7490,8270,8680,9550,10180,10450,10600,11170,11310
Bangladesh,1120,1170,1220,1270,1350,1420,1480,1560,1660,1800,1980,2160,2340,2450,2600,2780,3000,3180,3350,3560
Bolivia,3050,3180,3330,3320,3400,3480,3550,3610,3770,4020,4280,4510,4830,4910,5070,5330,5540,5910,6320,6710
Brazil,8010,8250,8130,8100,8570,8770,9070,9220,9930,10440,11030,11870,12510,12470,13880,14580,14750,15110,15650,15050
Burundi,550,550,570,560,570,570,580,560,580,590,630,650,680,680,690,710,730,750,770,730
Central African Republic,590,620,640,660,650,680,700,670,710,730,780,820,840,850,870,900,940,590,600,620
China,2040,2250,2420,2630,2900,3180,3520,3940,4440,5060,5870,6880,7680,8360,9290,10290,11320,12270,13460,14390
Colombia,6160,6380,6410,6150,6440,6580,6740,6990,7460,7950,8640,9350,9740,9890,10260,10970,11570,12250,12950,13550
"Congo, DR",480,450,440,400,400,380,390,410,440,460,480,510,520,530,560,580,610,630,680,720
Ecuador,5480,5720,5820,5380,5400,5790,6080,6250,6810,7330,7790,8040,8710,8710,9030,9770,10360,10880,11330,11270
Georgia,1900,2310,2470,2600,2690,2830,3030,3470,3870,4410,5100,5850,6080,5990,6390,7100,7950,8380,9130,9340
Ghana,1530,1590,1640,1700,1750,1830,1890,1980,2090,2250,2420,2530,2740,2830,2970,3320,3540,3860,3920,4080
Haiti,1280,1310,1330,1360,1380,1370,1360,1370,1340,1380,1440,1510,1530,1560,1480,1570,1630,1690,1740,1760
Honduras,2350,2500,2560,2520,2670,2740,2820,2930,3110,3360,3620,3940,4130,4030,4050,4200,4310,4430,4600,4750
India,1600,1660,1750,1900,1980,2090,2170,2340,2560,2840,3150,3470,3620,3900,4270,4590,4860,5200,5610,6030
Indonesia,4610,4830,4070,4020,4190,4300,4440,5110,5400,5790,6260,6750,7240,7540,8070,8610,9180,9710,10210,10700
Jordan,5140,5360,5560,5740,6210,6610,6910,7220,7940,8620,9290,10000,10400,10490,10150,10230,10300,10460,10660,10760
Kazakhstan,6210,6500,6560,6770,7350,8660,9760,10720,11860,12920,14220,15590,15830,16370,17110,18220,19370,21250,22310,23480
Kenya,1630,1630,1670,1680,1690,1750,1750,1780,1880,2020,2150,2300,2290,2330,2480,2620,2710,2830,2950,3070
Lebanon,9880,9670,9940,9940,10120,10120,9720,8450,10220,10830,11340,12910,14070,15040,15740,15620,15150,14440,14000,13750
Mali,990,1030,1090,1140,1140,1260,1260,1400,1410,1510,1570,1630,1690,1720,1750,1800,1750,1780,1900,1970
Mexico,8060,8690,9020,9500,10090,10100,10170,10400,11050,11850,12860,13760,14360,14050,14740,15790,16260,16290,17070,16860
Mongolia,3160,3310,3470,3600,3670,3840,4040,4350,4890,5270,5870,6490,7050,6820,6920,8170,9220,10500,11040,11220
Pakistan,2550,2540,2570,2640,2740,2800,2920,3140,3370,3660,3920,4120,4200,4290,4370,4520,4690,4870,5110,5320
Panama,6780,7110,7540,7700,8060,8090,8520,8620,9210,9970,10980,12460,13520,13390,13720,15830,17470,18600,19820,20460
Papua New Guinea,1520,1480,1400,1390,1380,1350,1340,1300,1370,1510,1490,1780,1890,1930,1990,2240,2410,2540,2800,2800
Peru,4410,4710,4750,4820,4980,5130,5400,5680,5890,6210,6710,7520,8340,8450,9040,9670,10450,11250,11650,12060
Philippines,3160,3360,3580,3650,3930,4080,4220,4570,4940,5370,5710,6140,6490,6830,7360,6890,7420,8000,8480,8940
Russia,5440,5580,5220,5680,6650,7270,7880,8970,10010,11540,14480,16280,19600,18760,19860,23360,24520,23300,24260,23770
Rwanda,540,580,590,600,630,670,750,760,830,900,990,1070,1170,1220,1290,1380,1490,1540,1640,1720
Senegal,1290,1320,1380,1450,1490,1550,1540,1640,1740,1840,1900,2000,2070,2050,2110,2120,2180,2200,2290,2380
South Africa,6830,7010,7000,7160,7520,7770,8140,8420,9010,9660,10380,10920,11350,11210,11530,11930,12220,12520,12750,12870
Sri Lanka,3400,3660,3840,4030,4340,4340,4560,4920,5290,5740,6310,6890,7290,7640,8300,9120,9980,10350,10960,11500
Tunisia,4550,4860,5100,5440,5740,6060,6180,6570,7100,7440,8040,8650,9050,9390,9750,9610,10110,10450,10930,11100
Venezuela,10840,11450,11400,10820,11290,11670,10460,9680,11510,13120,14750,16480,17230,16350,15970,16620,17550,17730,17310,17310
Vietnam,1610,1730,1830,1920,2070,2220,2370,2550,2780,3050,3310,3580,3810,3950,4230,4510,4800,5070,5390,5720
