Country,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Albania,34.31,39.215,44.12,41.425,38.73,41.18,43.63,36.27,49.02,45.59,51.47,55.83,55.83,58.37,57.42,56.87,57.35,57.82,60.1,59.13
Bangladesh,16.18,16.915,17.65,18.14,18.63,18.385,18.14,17.65,13.24,16.67,17.16,18.93,17.96,22.97,22.49,22.75,19.43,21.33,18.27,17.31
Bolivia,58.82,58.575,58.33,57.105,55.88,53.675,51.47,51.96,48.53,25.98,20.59,16.99,19.42,22.01,23.44,24.17,23.22,24.17,20.19,18.75
Brazil,65.2,65.69,66.18,65.2,64.22,62.745,61.27,62.75,56.37,54.41,54.41,53.4,54.37,55.02,55.02,55.92,54.98,54.5,51.44,46.63
Burundi,4.41,5.635,6.86,9.555,12.25,10.535,8.82,11.76,10.78,7.84,11.76,9.71,9.22,11,12.92,17.54,19.91,22.27,27.4,27.4
Central African Republic,20.59,19.61,18.63,17.895,17.16,15.445,13.73,13.73,11.27,8.82,9.8,8.25,9.71,7.66,11.96,10.43,13.27,11.37,7.21,5.29
China,47.55,42.4,37.25,36.76,36.27,34.8,33.33,42.65,44.61,50.49,48.53,50.97,51.46,45.93,44.5,44.08,44.08,44.55,44.71,44.23
Colombia,55.88,54.655,53.43,54.9,56.37,55.88,55.39,50.49,54.41,54.9,55.88,58.25,59.22,55.98,57.89,62.09,64.93,63.98,67.79,67.31
"Congo, DR",2.94,1.715,0.49,1.225,1.96,3.92,5.88,4.9,4.9,3.92,8.82,9.22,7.77,5.26,4.31,5.21,5.21,9.95,6.73,6.25
Ecuador,45.1,47.55,50,39.95,29.9,27.695,25.49,24.51,23.04,22.55,14.22,12.62,13.59,6.7,11,15.64,16.11,20.38,15.38,11.54
Georgia,18.14,23.53,28.92,31.37,33.82,27.205,20.59,25.49,35.78,33.33,50.98,60.68,65.05,67.94,70.33,73.93,73.46,73.93,79.33,78.85
Ghana,18.14,23.53,28.92,31.37,33.82,27.205,20.59,25.49,35.78,33.33,50.98,60.68,65.05,67.94,70.33,73.93,73.46,73.93,79.33,78.85
Haiti,17.16,17.65,18.14,16.67,15.2,14.955,14.71,16.18,7.84,11.27,20.1,21.36,22.82,20.1,17.22,15.17,20.85,19.43,14.42,11.06
Honduras,26.47,37.99,49.51,43.38,37.25,38.235,39.22,34.8,42.65,30.39,34.8,44.66,46.12,44.5,45.45,49.29,46.45,46.92,39.42,38.46
India,32.35,32.595,32.84,37.745,42.65,41.425,40.2,40.69,39.22,46.57,45.59,44.17,40.78,42.58,39.23,39.81,35.07,35.07,33.65,39.9
Indonesia,57.35,47.055,36.76,39.215,41.67,34.315,26.96,20.59,25,31.37,43.14,41.75,43.69,39.71,37.32,40.76,43.6,46.45,50,47.12
Jordan,53.92,59.805,65.69,63.235,60.78,58.575,56.37,60.29,64.71,57.84,61.27,61.65,61.65,60.29,56.94,60.19,56.87,56.4,54.81,55.29
Kazakhstan,39.71,37.255,34.8,30.88,26.96,25.245,23.53,34.31,33.33,44.61,41.67,39.32,42.72,40.67,40.67,43.13,39.34,37.91,44.23,53.85
Kenya,36.27,35.78,35.29,36.025,36.76,41.665,46.57,46.08,45.59,47.55,50,47.57,47.57,48.33,50.24,45.5,42.65,43.13,42.31,43.27
Lebanon,32.84,37.01,41.18,37.99,34.8,37.745,40.69,49.02,50.98,50,47.55,46.12,46.6,52.63,53.59,52.13,47.39,50.71,45.67,43.75
Mali,29.41,34.56,39.71,44.61,49.51,42.89,36.27,32.35,35.29,32.35,36.27,41.26,39.32,38.28,35.41,37.91,37.44,34.12,30.29,30.29
Mexico,64.71,62.99,61.27,61.76,62.25,63.48,64.71,64.71,65.69,61.27,63.73,63.59,62.62,57.42,58.37,58.77,67.77,67.3,66.83,66.35
Mongolia,44.61,46.57,48.53,49.265,50,50.245,50.49,37.75,40.69,37.25,44.61,45.63,43.2,44.02,44.02,45.97,45.5,42.18,45.19,42.31
Pakistan,30.88,29.41,27.94,24.51,21.08,21.08,21.08,23.04,18.14,26.47,35.29,31.55,31.55,33.01,30.62,28.91,25.59,26.07,28.37,29.33
Panama,68.63,72.795,76.96,73.04,69.12,67.16,65.2,63.24,64.22,58.33,60.29,63.11,69.9,63.16,63.64,64.93,63.51,63.03,65.38,65.38
Papua New Guinea,28.92,27.45,25.98,28.185,30.39,29.41,28.43,25,22.06,18.63,22.06,28.16,27.18,31.58,33.01,34.6,33.18,33.18,41.35,31.25
Peru,73.53,73.04,72.55,69.61,66.67,61.275,55.88,57.84,62.75,55.88,56.86,60.19,63.11,64.59,68.42,67.3,68.25,66.82,69.23,69.23
Philippines,59.8,61.275,62.75,59.805,56.86,53.43,50,52.45,46.08,51.47,50.49,51.46,52.43,50.72,44.98,44.55,52.13,52.13,52.4,52.88
Russia,39.22,34.805,30.39,29.165,27.94,35.54,43.14,48.04,50,49.51,39.22,42.23,38.83,39.23,40.19,38.86,40.28,38.39,36.54,32.21
Rwanda,7.35,10.54,13.73,13.73,13.73,17.895,22.06,21.57,26.47,19.12,25.49,26.7,33.98,42.11,46.41,48.34,49.76,53.55,61.54,60.58
Senegal,43.14,43.385,43.63,44.855,46.08,45.835,45.59,47.06,45.1,46.08,44.12,40.29,44.66,43.54,42.58,45.02,50.24,52.61,46.15,48.56
South Africa,62.75,61.03,59.31,62.01,64.71,67.16,69.61,74.02,71.57,69.61,71.08,66.5,65.53,64.11,62.2,63.98,63.98,64.93,62.98,63.94
Sri Lanka,56.37,57.595,58.82,59.555,60.29,59.8,59.31,56.37,53.43,44.12,45.1,45.15,41.75,44.98,45.93,50.24,48.34,47.87,50.96,51.92
Tunisia,52.94,51.715,50.49,51.225,51.96,50,48.04,53.92,51.47,51.96,55.39,55.34,54.85,53.11,53.11,46.45,45.97,40.76,38.46,38.94
Venezuela,45.59,42.895,40.2,35.54,30.88,28.675,26.47,16.67,14.22,12.25,12.25,6.31,5.34,4.31,3.83,6.16,4.74,2.84,2.88,2.4
Vietnam,28.43,26.225,24.02,23.04,22.06,22.55,23.04,29.41,30.39,28.43,28.43,30.58,30.1,29.19,28.23,31.28,27.96,29.38,29.81,33.65
