Country,ISO,Region,Year,World Bank Classification,r_Gross Domestic Product (PPP),y_Life Expectancy (years),x_GNI per capita (US$)
Afghanistan,AFG,Asia,1990,1,,49.9,
Albania,ALB,Europe,1990,2,8940000000,72.0,680
Algeria,DZA,Africa,1990,2,171000000000,66.7,2360
American Samoa,ASM,Oceania,1990,3,,,
Andorra,AND,Europe,1990,,,,16880
Angola,AGO,Africa,1990,2,34600000000,41.1,550
Antigua and Barbuda,ATG,Americas,1990,3,686000000,71.2,5740
Argentina,ARG,Americas,1990,2,229000000000,71.5,3170
Armenia,ARM,Asia,1990,0,8560000000,67.7,
Aruba,ABW,Americas,1990,4,,73.4,
Australia,AUS,Oceania,1990,5,296000000000,77.0,17220
Austria,AUT,Europe,1990,5,149000000000,75.6,20560
Azerbaijan,AZE,Asia,1990,0,39400000000,64.7,
"Bahamas, The",BHS,Americas,1990,4,4020000000,70.6,11900
Bahrain,BHR,Asia,1990,3,11300000000,72.5,7220
Bangladesh,BGD,Asia,1990,1,88395044692,58.4,310
Barbados,BRB,Americas,1990,3,2240000000,71.2,7520
Belarus,BLR,Europe,1990,0,53200000000,70.8,
Belgium,BEL,Europe,1990,5,187000000000,76.1,19400
Belize,BLZ,Americas,1990,2,627000000,71.3,2230
Benin,BEN,Africa,1990,1,4710000000,53.4,360
Bermuda,BMU,Americas,1990,4,1550000000,,27100
Bhutan,BTN,Asia,1990,1,807000000,52.5,580
Bolivia,BOL,Americas,1990,2,16400000000,55.1,720
Bosnia and Herzegovina,BIH,Europe,1990,0,,70.8,
Botswana,BWA,Africa,1990,2,7220000000,62.6,2540
Brazil,BRA,Americas,1990,3,996000000000,65.3,2710
British Virgin Islands,VGB,Americas,1990,,,,
Brunei Darussalam,BRN,Asia,1990,4,14200000000,73.1,12600
Bulgaria,BGR,Europe,1990,2,45200000000,71.6,2250
Burkina Faso,BFA,Africa,1990,1,4810000000,49.4,330
Burundi,BDI,Africa,1990,1,3806386336,48.0,210
Cabo Verde,CPV,Africa,1990,2,366000000,65.6,890
Cambodia,KHM,Asia,1990,1,,53.5,
Cameroon,CMR,Africa,1990,2,21600000000,53.6,920
Canada,CAN,Americas,1990,5,559000000000,77.4,20400
Cayman Islands,CYM,Americas,1990,,,,
Central African Republic,CAF,Africa,1990,1,1770000000,49.0,460
Chad,TCD,Africa,1990,1,4280000000,46.9,270
Channel Islands,CHI,Europe,1990,4,,75.4,
Chile,CHL,Americas,1990,2,57900000000,72.7,2260
China,CHN,Asia,1990,6,1120000000000,69.0,330
Colombia,COL,Americas,1990,2,167000000000,68.3,1220
Comoros,COM,Africa,1990,1,425629994,56.7,560
"Congo, Dem. Rep.",COD,Africa,1990,1,28600000000,49.0,
"Congo, Rep.",COG,Africa,1990,2,8110000000,55.0,920
Costa Rica,CRI,Americas,1990,2,15600000000,75.7,2320
Cote d'Ivoire,CIV,Africa,1990,2,25323486247,52.6,760
Croatia,HRV,Europe,1990,0,,72.2,
Cuba,CUB,Americas,1990,2,93700000000,74.6,2660
Curacao,CUW,Americas,1990,,,,
Cyprus,CYP,Asia,1990,4,7640000000,76.5,9510
Czech Republic,CZE,Europe,1990,0,130000000000,71.4,
Denmark,DNK,Europe,1990,5,93500000000,74.8,24500
Djibouti,DJI,Africa,1990,2,1180000000,56.7,
Dominica,DMA,Americas,1990,2,308000000,,2300
Dominican Republic,DOM,Americas,1990,2,24500000000,68.0,870
Ecuador,ECU,Americas,1990,2,49300000000,69.0,1370
"Egypt, Arab Rep.",EGY,Africa,1990,1,219000000000,64.5,750
El Salvador,SLV,Americas,1990,2,15400000000,64.0,900
Equatorial Guinea,GNQ,Africa,1990,1,275747982,48.2,290
Eritrea,ERI,Africa,1990,0,,48.2,
Estonia,EST,Europe,1990,0,,69.5,
Ethiopia,ETH,Africa,1990,1,20300000000,47.1,260
Faroe Islands,FRO,Europe,1990,4,,76.1,
Fiji,FJI,Oceania,1990,2,2770000000,65.6,1790
Finland,FIN,Europe,1990,5,90500000000,74.8,26000
France,FRA,Europe,1990,5,1030000000000,76.6,20700
French Polynesia,PYF,Oceania,1990,4,,68.8,15400
Gabon,GAB,Africa,1990,3,12000000000,61.2,4810
"Gambia, The",GMB,Africa,1990,1,899000000,52.2,320
Georgia,GEO,Asia,1990,0,24900000000,70.0,
Germany,DEU,Europe,1990,5,1540000000000,75.2,21300
Ghana,GHA,Africa,1990,1,18100000000,56.8,400
Gibraltar,GIB,Europe,1990,3,,,
Greece,GRC,Europe,1990,3,136000000000,76.9,8970
Greenland,GRL,Americas,1990,4,,65.1,15700
Grenada,GRD,Americas,1990,2,466000000,68.5,2250
Guam,GUM,Oceania,1990,3,,72.0,
Guatemala,GTM,Americas,1990,2,30500000000,62.2,930
Guinea,GIN,Africa,1990,1,4390000000,49.9,430
Guinea-Bissau,GNB,Africa,1990,1,1030000000,49.1,210
Guyana,GUY,Americas,1990,1,1360000000,63.5,390
Haiti,HTI,Americas,1990,1,,54.6,
Honduras,HND,Americas,1990,1,10200000000,66.7,690
Hong Kong,HKG,Asia,1990,4,99500000000,77.4,12700
Hungary,HUN,Europe,1990,3,,69.3,
