name,type,name_eng,name_standard,name_traditional,default_axis,is_default_value,min_value,max_value,min_years,max_years,step_alt,is_percentage,units_eng,units_standard,units_traditional,desc_eng,desc_standard,desc_traditional,hint_eng,hint_standard,hint_traditional,needs_average_line,is_logged_default,lower_is_better,comparison_countries,,,,,,,,,,,,,,,,,,
title,title,Development Tracker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
world_bank_classification,color,World Bank Classification,,,c,1,,,,,,,,,,the description,,,,,,,,,,,,,,,,,,,,,,,,,,,
region_eng,color,Regions,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gdp_ppp,econ,Gross Domestic Product (PPP),,,r,1,,,1990,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
life_expectancy,social,Life Expectancy,,,y,1,,,1990,2015,,,Years,,,"Life expectancy is a key social development indicator that provides an important summary of mortality conditions within countries. China has made considerable strides in raising the average life expectancy across the country from 69.3 years in 1990 to 76.1 years in 2015. Despite this increase of 6.8 years, life expectancy in China still falls 3.5 years short of the average of 79.6 years found in high-income countries. <a href=""https://chinapower.csis.org/life-expectancy/"">More</a>",,,,,,1,,,IND;JPN;RUS;ZAF;USA,,,,,,,,,,,,,,,,,,
gni_per_capita,econ,GNI per capita,,,x,1,,,1990,2016,,,US$,,,,,,Current Year dollars? 2014???,,,,1,,,,,,,,,,,,,,,,,,,,
population,social,Population,,,r,,,,1990,2016,,,People,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
gdp_per_capita_ppp,econ,GDP per capita (PPP),,,x,,,,1990,2016,,,US$,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
mortality_rate_under_5,social,Under 5 Mortality Rate,,,y,,,,1990,2016,,,"per 1,000 births",,,"Under-five mortality rate measure the number of deaths per 1,000 live births. Since 1990, China has dramatically child mortality, from 53.9 deaths per 1,000 live births to 9.9 in 2016. This rate is still higher than the average for high-income economies of 6.51 deaths, but significantly lower than its neighbors like India (45.2 deaths) and Pakistan (81 deaths).",,,,,,1,,1,IND;JPN;NOR;PAK;ZAF,,,,,,,,,,,,,,,,,,
urban_population,social,Urbanization,,,y,,,,1990,2016,,1,% of population,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
